#id,quiz_data_id,option,correct
1,1,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_1,0
2,1,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_2,0
3,1,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_3,0
4,1,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_4,1
5,2,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_5,0
6,2,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_6,1
7,3,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_7,1
8,3,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_8,0
9,3,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_9,0
10,3,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_10,0
11,4,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_11,0
12,4,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_12,1
13,4,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_13,0
14,4,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_14,0
15,5,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_15,0
16,5,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_16,0
17,5,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_17,1
18,5,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_18,0
19,6,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_19,0
20,6,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_20,0
21,6,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_21,0
22,6,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_22,1
23,6,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_23,0
24,7,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_24,1
25,7,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_25,0
26,7,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_26,0
27,8,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_27,0
28,8,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_28,0
29,8,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_29,0
30,8,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_30,1
31,9,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_31,0
32,9,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_32,1
33,9,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_33,0
34,9,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_34,0
35,9,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_35,0
36,10,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_36,0
37,10,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_37,0
38,10,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_38,0
39,10,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_39,0
40,10,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_40,1
41,11,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_41,0
42,11,MSG_QUIZ_PROGRAMMING_QUESTION_OPTION_42,1
